Name,Classy Designations: Designation Name,City,State
Neighborhood & Community Services,Community Managed,Manassas,Virginia
PETERSBURG BUREAU OF POLICE,Community Managed,PETERSBURG,Virginia
RPS Classes of 1972,Community Managed,Richmond,Virginia
HEALING HEARTS,Community Managed,Springfield,Virginia
Rotary Club Of Strasburg,Rotary,Stephens City,Virginia
Boost Others,Community Managed,Vienna,Virginia
Lakeland Hills Elementary,Community Managed,AUBURN,Washington
Kiwanis Club of Gig Harbor,Community Managed,Gig Harbor,Washington
Quincy Cares,Community Managed,Quincy,Washington
Love Thy Neighbor,Community Managed,Tacoma,Washington
Hough Elementary School,Community Managed,Vancouver,Washington
Adams County Sheriffs Dept. Coats for Kids,Community Managed,Friendship,Wisconsin
Clara Mohammed School,Community Managed,Milwaukee,Wisconsin
Emerson Elementary School,Community Managed,Milwaukee,Wisconsin
Rocketship Southside Community Prep,Community Managed,Milwaukee,Wisconsin
New Beginnings Are Possible,Community Managed,Milwaukee,Wisconsin
Froedtert,Community Managed,Milwaukee,Wisconsin
Holy Temple Firstborn M.B.C.,Community Managed,Milwaukee,Wisconsin
HomeTeam4U- Stark Company Realtors,Community Managed,Sun Prairie,Wisconsin
Altar'd State,Community Managed,Wauwatosa,Wisconsin
